tweet_id,source_user_id,rt_user_id,tweet,Inf/Conv,website,tweet_time,hashtag,raw_retweet_count
2.9343E+17,17758551,-1,Starting to see year-end financials for non-profits I serve with. The effects of the #fiscalcliff 2012 bubble are going to be huge.,,,1/21/13 13:47,FiscalCliff,0
2.93431E+17,872417328,-1,Obama let's see some big changes this year #inaug2013  #fiscalcliff,,,1/21/13 13:53,FiscalCliff,1
2.93432E+17,858497016,51330975,RT @dierdrelewis: Our so call democracy. #debtceiling #fiscalcliff #connecttheleft #topprog #politics #obama #dem #gop http://t.co/sdB7XMS7,,http://t.co/sdB7XMS7,1/21/13 13:57,FiscalCliff,3
2.93433E+17,38992640,-1,How Congress saved us from the fiscal cliff. #fiscalcliff http://t.co/pFjIrjT5,,http://t.co/pFjIrjT5,1/21/13 13:58,FiscalCliff,0
2.93434E+17,16981607,-1,SOME STATES DID NOT LEGALLY RATIFY THE 16TH AMENDMENT http://t.co/ovHTfnwS  #fiscalcliff #tax #irs #fed,,http://t.co/ovHTfnwS,1/21/13 14:04,FiscalCliff,3
2.93434E+17,32834839,16981607,RT @WRH_Mike_Rivero: SOME STATES DID NOT LEGALLY RATIFY THE 16TH AMENDMENT http://t.co/ovHTfnwS  #fiscalcliff #tax #irs #fed,,http://t.co/ovHTfnwS,1/21/13 14:06,FiscalCliff,3
2.93435E+17,32834839,16981607,RT @WRH_Mike_Rivero: Red Beckman: The 16th Amendment was Never Ratified! http://t.co/kciPgWCA  #fiscalcliff #tax #irs #fed,,http://t.co/kciPgWCA,1/21/13 14:08,FiscalCliff,2
2.93436E+17,32834839,16981607,RT @WRH_Mike_Rivero: The 16th Amendment was never actually ratified http://t.co/jpchQF4C  #fiscalcliff #tax #irs #fed,,http://t.co/jpchQF4C,1/21/13 14:11,FiscalCliff,1
2.93436E+17,538524787,241203006,RT @jakehoffman19: Fantastic speech #Obama2012 #fiscalcliff? #socialsecurity? #communism #socialism #welfare,,,1/21/13 14:14,FiscalCliff,3
2.93439E+17,348121076,-1,“Cliff” law reconfigures #tax preparation and planning http://t.co/hHftHn3I #fiscalcliff #connecticut,,http://t.co/hHftHn3I,1/21/13 14:26,FiscalCliff,0
2.93441E+17,1102029902,222953824,"RT @gov: 1.4 million: the number of Twitter mentions for #fiscalcliff and \fiscal cliff\"" in the last 30 days with one-third in the last  ...""",,,1/21/13 14:31,FiscalCliff,76
2.93442E+17,26953831,-1,It's another view on the fiscal cliff deal and donor impact. http://t.co/0K7odkee @SSIReview #nonprofit #philanthropy #fiscalcliff,,http://t.co/0K7odkee,1/21/13 14:35,FiscalCliff,0
2.93442E+17,913120152,-1,Obama Finally Pushes Back On ‘The 47 Percent’: Entitleme... http://t.co/V7Veudo9 ThinkProgress #FiscalCliff #General,,http://t.co/V7Veudo9,1/21/13 14:38,FiscalCliff,0
2.93444E+17,20073434,-1,"After #FiscalCliff deal preserved #BushTaxCuts for most Americans, GOP has little incentive to agree to new #revenue http://t.co/bMiLdRiC",,http://t.co/bMiLdRiC,1/21/13 14:45,FiscalCliff,1
2.93445E+17,68758689,-1,Permanent via #ATRA: enhancements to Coverdell education savings accounts #fiscalcliff,,,1/21/13 14:50,FiscalCliff,0
2.93447E+17,112549655,-1,The Fiscal Cliff Fallout: This Is Not What MLK Would Have Wanted http://t.co/1GPqhcXY #MLK #fiscalcliff,,http://t.co/1GPqhcXY,1/21/13 14:56,FiscalCliff,0
2.93449E+17,18411295,-1,#CNN says #America is in #bed w #China & #Obama is #swinging #big but #FoxNews says hold on to #Boehner lest we fall off the #FiscalCliff !,,,1/21/13 15:02,FiscalCliff,0
2.93449E+17,159096380,25334900,RT @GOVERNING: Looking at state #tax implications from the #fiscalcliff deal - including the end of the 'zombie' estate tax http://t.co/ ...,,http://t.co/,1/21/13 15:06,FiscalCliff,3
2.9345E+17,1005127645,-1,@opportunitykn VC's are afraid to invest in new products considering that our economy is in a depression.The #fiscalcliff made it even worse,,,1/21/13 15:07,FiscalCliff,0
2.93451E+17,16981607,-1,TheTiny Dot  http://t.co/OzvjhIwd  #fiscalcliff #tax #irs #fed,,http://t.co/OzvjhIwd,1/21/13 15:11,FiscalCliff,0
2.93452E+17,460703607,-1,Take the bus off the damn cliff and get it over with. #Fiscalcliff There will be more posts comming from @thinkoutofboxe anual symposium,,,1/21/13 15:15,FiscalCliff,0
2.93452E+17,22655150,-1,Did the #fiscalcliff ever really scare you as a #smallbiz owner? Many still optimistic... http://t.co/7EluAdJD #SMB #entrepreneurs,,http://t.co/7EluAdJD,1/21/13 15:15,FiscalCliff,1
2.93453E+17,794937187,22655150,RT @RhondaAbrams: Did the #fiscalcliff ever really scare you as a #smallbiz owner? Many still optimistic... http://t.co/7EluAdJD #SMB #e ...,,http://t.co/7EluAdJD,1/21/13 15:20,FiscalCliff,1
2.93453E+17,408925088,-1,IRS offers details on IRA provisions of fiscal cliff deal http://t.co/LBFHhLE6 - via @finplan #IRA #fiscalcliff,,http://t.co/LBFHhLE6,1/21/13 15:22,FiscalCliff,0
2.93454E+17,178960733,-1,Congress' #fiscalcliff deal = $10 of tax increases for every $1 in spending cuts. INCREASING spending by $330 BILLION!,,,1/21/13 15:25,FiscalCliff,0
2.93455E+17,876725977,-1,"@JoeNBC remind me what he compromised on during #fiscalcliff talks?  Oh, nothing.  Press will never keep him honest.  He has you, Joe.",,,1/21/13 15:28,FiscalCliff,0
2.93455E+17,262116127,-1,#obama has moved us forward alright! Right to the edge of the #fiscalcliff that STILL exist. Radical #dems want us over the edge->to marxism,,,1/21/13 15:29,FiscalCliff,0
2.93456E+17,16981607,-1,IRS Insider Joe Banister Exposes Federal Reserve Coup and IRS Fraud http://t.co/PHLjDdnc #fiscalcliff #tax #irs #fed,,http://t.co/PHLjDdnc,1/21/13 15:30,FiscalCliff,0
2.93456E+17,876725977,-1,"@Steele_Michael @HuntsmanAbby Remind me, what did Dems compromise on during #fiscalcliff? Obama's #absolutism = anybody who disagrees w me.",,,1/21/13 15:31,FiscalCliff,0
2.93459E+17,20073434,-1,"#FiscalCliff deal will shave 1% to 1.75% off economic growth this year, due to cuts... we can't afford even more cuts! http://t.co/bMiLdRiC",,http://t.co/bMiLdRiC,1/21/13 15:45,FiscalCliff,0
2.9346E+17,36257012,-1,"Smaller Payday Trims Workers’ Splurges as U.S. Tax Breaks Expire http://t.co/saGOcprT\
#ADP #fiscalcliff #payroll #tax",,http://t.co/saGOcprT,1/21/13 15:46,FiscalCliff,0
2.93462E+17,401230417,-1,GOP Clamors To Reduce All Budgets Except Defense and Their Own http://t.co/WPxoAGnd #FiscalCliff #p2 #tcot #tlot,,http://t.co/WPxoAGnd,1/21/13 15:56,FiscalCliff,0
2.93463E+17,805224049,-1,Eric Cantor's Priceless Reaction To Obama's Inaugural Poem (WTF?) http://t.co/9ANB1M5u  #tgdn #tcot #Nra #fiscalCliff @ericcantor,,http://t.co/9ANB1M5u,1/21/13 15:58,FiscalCliff,1
2.93463E+17,191623603,-1,"Excellent interview w/ Michael Hudson earlier in Jan @DISSECTOREVENTS, http://t.co/dPMZnHqb #fiscalcliff redux #obama",,http://t.co/dPMZnHqb,1/21/13 16:00,FiscalCliff,0
2.93465E+17,10631222,-1,11 ways avoiding the #fiscalcliff is good news for the #housing industry (for now): http://t.co/k0i8mdXQ. (Via @HousingZone),,http://t.co/k0i8mdXQ,1/21/13 16:06,FiscalCliff,1
2.93466E+17,160798206,-1,‘Progress on the Road to Fiscal Stability’ http://t.co/nduCR93U looking at the New Year’s Day deal on the #fiscalcliff,,http://t.co/nduCR93U,1/21/13 16:10,FiscalCliff,0
2.93466E+17,18258975,-1,@WTOP @aliciavlozano Retail therapy? You should be watching your pennies. 800K in DC soon to be out of work. #sequestration #fiscalcliff,,,1/21/13 16:11,FiscalCliff,0
2.93473E+17,14943941,-1,"Webinar 2/12: Using real-time metrics to mitigate brand crisis- #fiscalcliff Case Study, 3 time zones: http://t.co/KJyyW2kt #fiscalcliffdata",,http://t.co/KJyyW2kt,1/21/13 16:38,FiscalCliff,1
2.93475E+17,634044392,-1,"@Boredgeoisie and the #fiscalcliff so the world economy doesn't falter, again. #miserabletweet",,,1/21/13 16:48,FiscalCliff,0
2.93475E+17,14120729,14943941,"RT @SDLsocial: Webinar 2/12: Using real-time metrics to mitigate brand crisis- #fiscalcliff Case Study, 3 time zones: http://t.co/KJyyW2 ...",,http://t.co/KJyyW2,1/21/13 16:48,FiscalCliff,1
2.93476E+17,104950165,10631222,RT @IMREBuildIQ: 11 ways avoiding the #fiscalcliff is good news for the #housing industry (for now): http://t.co/k0i8mdXQ. (Via @Housing ...,,http://t.co/k0i8mdXQ,1/21/13 16:50,FiscalCliff,1
2.93485E+17,291344593,-1,Reid's budget: new entitlement spending and tax hikes.  Accuse GOP of cruelty when they cut spending.  #fiscalcliff #GOP #tcot #taxes,,,1/21/13 17:26,FiscalCliff,0
2.93486E+17,195889736,-1,Concerned re pending #FiscalCliff in the US? Tomorrow we discuss capital optimization strategies: #EY_FiscalCliff http://t.co/vjl7wFCD,,http://t.co/vjl7wFCD,1/21/13 17:33,FiscalCliff,0
2.93487E+17,1055974632,-1,@BuzzFeedAndrew @ByronTau more spectators last time around. I barely tuned in. I am disappointed in the #fiscalcliff and #2ndamend treatment,,,1/21/13 17:36,FiscalCliff,0
2.93495E+17,14976838,-1,"Another #fiscalcliff means clean air, water and public health face major threats. Stand up to Congress now: http://t.co/31gZrXe7 via @NRDC",,http://t.co/31gZrXe7,1/21/13 18:06,FiscalCliff,1
2.93496E+17,16476132,14976838,"RT @MIDKNIGHT6: Another #fiscalcliff means clean air, water and public health face major threats. Stand up to Congress now: http://t.co/ ...",,http://t.co/,1/21/13 18:12,FiscalCliff,1
2.93497E+17,1093095140,-1,"HOPE DIMS FOR A BIG DEAL ON FISCAL CLIFF- Reference to \dimming hope\"" omits- The basic problem DIMMING WITS. #fiscalcliff #finance""",,,1/21/13 18:13,FiscalCliff,0
2.93498E+17,1093095140,-1,MARKETS CALM DESPITE LOOMING FISCAL CLIFF- What this story fails to inform? This is the calm before the storm. #fiscalcliff,,,1/21/13 18:18,FiscalCliff,0
2.93498E+17,1093095140,-1,"AP SOURCES:\ FISCAL CLIFF\"" DEAL EMERGING- It's been so difficult to birth \",,,,,
"it-Let's hope this squawling baby's worth it.  #fiscalcliff""",,1/21/13 18:18,FiscalCliff,,0,1,1,
2.93498E+17,1093095140,-1,HOUSE FACES TOUGH VOTE ON FISCAL CLIFF DEAL - Hold your nose. Close your eyes.- Take the deal. Join the AYES. #fiscalcliff,,,1/21/13 18:19,FiscalCliff,0
2.935E+17,263857777,95506425,"RT @BGOV: @BarackObama begins 2nd term with many battles carried over from his first term #fiscalcliff, #debtceiling, #hcr, #doddfrank",,,1/21/13 18:28,FiscalCliff,2
2.93501E+17,38365164,95506425,"RT @BGOV: @BarackObama begins 2nd term with many battles carried over from his first term #fiscalcliff, #debtceiling, #hcr, #doddfrank",,,1/21/13 18:29,FiscalCliff,2
2.93509E+17,331877987,-1,Our Chief Economist is on a whirlwind tour of APAC for the next few wks. On his agenda? The #fiscalcliff and China’s #hardlanding.,,,1/21/13 19:01,FiscalCliff,2
2.93509E+17,834186926,331877987,RT @StateStreet: Our Chief Economist is on a whirlwind tour of APAC for the next few wks. On his agenda? The #fiscalcliff and China’s #h ...,,,1/21/13 19:01,FiscalCliff,2
2.93511E+17,16101049,-1,"RT @sdlsocial: Webinar 2/12: Using real-time metrics to mitigate brand crisis- #fiscalcliff Case Study, 3 time zones: http://t.co/5zEsMPX6",,http://t.co/5zEsMPX6,1/21/13 19:10,FiscalCliff,0
2.93512E+17,103684208,38737676,RT @cspanannie: US Senate just convened. Sen. Reid expects work on exec. nominations while it waits for House to act on #fiscalcliff &am ...,,,1/21/13 19:13,FiscalCliff,20
2.93512E+17,20073434,-1,We can't afford more #austerity! #SpendingCuts in #FiscalCliff deal will already slow US growth by 1-1.75% this yr http://t.co/bMiLdRiC,,http://t.co/bMiLdRiC,1/21/13 19:15,FiscalCliff,1
2.93512E+17,383930088,20073434,RT @ForEffectiveGov: We can't afford more #austerity! #SpendingCuts in #FiscalCliff deal will already slow US growth by 1-1.75% this yr  ...,,,1/21/13 19:16,FiscalCliff,1
2.93513E+17,248076573,-1,#FiscalCliff My message to President Obama http://t.co/ib2rXX39,,http://t.co/ib2rXX39,1/21/13 19:20,FiscalCliff,0
2.93514E+17,414158171,331877987,RT @StateStreet: Our Chief Economist is on a whirlwind tour of APAC for the next few wks. On his agenda? The #fiscalcliff and China’s #h ...,,,1/21/13 19:23,FiscalCliff,2
2.93516E+17,414003816,-1,Obama's #FiscalCliff $1Trillion annual deficits until he bankrupts the USA in a few years #PJNET http://t.co/BX2b6Ek3,,http://t.co/BX2b6Ek3,1/21/13 19:31,FiscalCliff,2
2.93516E+17,25698756,414003816,RT @UnPoliticalPrty: Obama's #FiscalCliff $1Trillion annual deficits until he bankrupts the USA in a few years #PJNET http://t.co/BX2b6Ek3,,http://t.co/BX2b6Ek3,1/21/13 19:32,FiscalCliff,2
2.93517E+17,345043235,-1,"Give Obama & the Takers what they want - scorched earth - then we can watch while they eat their own, starting with Obama #tcot #fiscalcliff",,,1/21/13 19:35,FiscalCliff,0
2.9352E+17,19611642,414003816,RT @UnPoliticalPrty: Obama's #FiscalCliff $1Trillion annual deficits until he bankrupts the USA in a few years #PJNET http://t.co/BX2b6Ek3,,http://t.co/BX2b6Ek3,1/21/13 19:45,FiscalCliff,2
2.93524E+17,20073434,-1,"After #FiscalCliff deal locked 82% of #BushTaxCuts into place, GOP has little incentive to compromise on more #revenue http://t.co/bMiLdRiC",,http://t.co/bMiLdRiC,1/21/13 20:01,FiscalCliff,0
